Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
108,Christian Castillo,mx MEX,FW,Tijuana,22-204,2003,2,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
109,Moises Castillo,co COL,DF,FC Juárez,24-272,2001,19,19,"1,665",18.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
110,José Castillo Pérez,mx MEX,DF,Guadalajara,24-080,2001,21,19,"1,643",18.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
111,Raúl Castillo,mx MEX,FW,Puebla,24-080,2001,9,4,383,4.3,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
112,Christopher Castro,mx MEX,DF,Mazatlán,20-241,2005,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Nicolás Castro,ar ARG,MF,Toluca,25-111,2000,22,19,"1,469",16.3,3,7,10,3,0,0,1,0,0.18,0.43,0.61,0.18,0.61,Matches
114,Lucas Cavallini,ca CAN,FW,Puebla,33-054,1992,1,0,28,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
115,Alan Cervantes,mx MEX,MF,América,28-034,1998,14,6,533,5.9,1,0,1,1,0,0,1,0,0.17,0,0.17,0.17,0.17,Matches
116,Ángel Chávez,mx MEX,DF,Guadalajara,21-001,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
117,Ricardo Chávez Soto,mx MEX,"DF,MF",Monterrey,31-093,1994,16,13,"1,171",13,1,0,1,1,0,0,6,1,0.08,0,0.08,0.08,0.08,Matches
118,Ronaldo Cisneros,mx MEX,FW,Querétaro,29-043,1997,3,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
119,Matías Cóccaro,uy URU,FW,Atlas,28-097,1997,14,1,227,2.5,1,0,1,1,0,0,2,1,0.4,0,0.4,0.4,0.4,Matches
120,Bryan Colula,mx MEX,"DF,MF",Mazatlán,29-320,1996,16,15,"1,248",13.9,2,0,2,2,0,0,4,1,0.14,0,0.14,0.14,0.14,Matches
121,Bryan Colula,mx MEX,DF,León,29-320,1996,6,6,516,5.7,1,1,2,1,0,0,1,0,0.17,0.17,0.35,0.17,0.35,Matches
122,Ari Contreras,mx MEX,DF,Pachuca,20-110,2005,1,1,66,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
123,Jesús Corona,mx MEX,"MF,FW",Monterrey,33-045,1993,19,14,"1,002",11.1,2,1,3,2,0,0,3,0,0.18,0.09,0.27,0.18,0.27,Matches
124,Joe Corona,us USA,MF,Tijuana,35-226,1990,6,1,75,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
125,José Corona,mx MEX,GK,Tijuana,45-025,1981,1,1,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
126,Mateo Coronel,ar ARG,FW,Querétaro,27-119,1998,13,7,657,7.3,2,0,2,2,0,1,2,1,0.27,0,0.27,0.27,0.27,Matches
127,Ángel Correa,ar ARG,"MF,FW",UANL,30-348,1995,22,20,"1,849",20.5,10,6,16,9,1,2,4,0,0.49,0.29,0.78,0.44,0.73,Matches
128,Jafet Cortés,mx MEX,DF,Puebla,21-048,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
129,Rogelio Cortéz Pineda,mx MEX,MF,Necaxa,21-228,2004,10,2,213,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
130,Jordi Cortizo,mx MEX,MF,Monterrey,29-235,1996,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
131,Jordi Cortizo,mx MEX,MF,León,29-235,1996,18,6,712,7.9,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
132,Rodolfo Cota,mx MEX,GK,América,38-232,1987,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
133,Cade Cowell,us USA,FW,Guadalajara,22-129,2003,13,4,492,5.5,1,0,1,1,0,0,1,0,0.18,0,0.18,0.18,0.18,Matches
134,Aldo Cruz,mx MEX,DF,Atlético San Luis,28-149,1997,13,3,410,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
135,Cristián Dajome,co COL,"MF,FW",Santos Laguna,32-048,1994,22,11,"1,156",12.8,4,0,4,4,0,0,5,0,0.31,0,0.31,0.31,0.31,Matches
136,Jesús David Murillo,co COL,DF,FC Juárez,32-002,1994,15,14,"1,242",13.8,1,1,2,1,0,0,6,0,0.07,0.07,0.14,0.07,0.14,Matches
137,José David Ramírez,mx MEX,"DF,MF",León,30-068,1995,15,7,599,6.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
138,Víctor Dávila,cl CHI,"FW,MF",América,28-108,1997,17,7,517,5.7,2,0,2,2,0,1,2,0,0.35,0,0.35,0.35,0.35,Matches
139,Diego De Buen,mx MEX,"MF,DF",Necaxa,34-232,1991,13,11,989,11,1,1,2,1,0,0,3,0,0.09,0.09,0.18,0.09,0.18,Matches
140,Gustavo Del Prete,ar ARG,"MF,FW",Atlas,29-253,1996,11,5,411,4.6,2,1,3,2,0,0,1,0,0.44,0.22,0.66,0.44,0.66,Matches
141,Everardo Del Villar,mx MEX,DF,Toluca,20-334,2005,15,11,992,11,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
142,Lucas Di Yorio,ar ARG,FW,Santos Laguna,29-090,1996,4,4,327,3.6,3,0,3,2,1,1,0,0,0.83,0,0.83,0.55,0.55,Matches
143,Nicolás Díaz Huincales,cl CHI,"DF,MF",Puebla,26-276,1999,20,19,"1,715",19.1,0,1,1,0,0,0,7,1,0,0.05,0.05,0,0.05,Matches
144,Ismael Díaz,pa PAN,"MF,FW",León,28-284,1997,16,13,"1,083",12,6,1,7,5,1,1,0,0,0.5,0.08,0.58,0.42,0.5,Matches
145,Jair Díaz,mx MEX,DF,Mazatlán,27-183,1998,13,9,901,10,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
146,Willer Ditta,co COL,DF,Cruz Azul,29-028,1997,23,22,"2,002",22.2,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
147,Alexei Dominguez,mx MEX,"MF,FW",Pachuca,21-048,2005,13,11,862,9.6,1,2,3,1,0,0,2,0,0.1,0.21,0.31,0.1,0.31,Matches
148,Juan Domínguez,mx MEX,"MF,FW",Toluca,27-113,1998,13,3,453,5,1,1,2,1,0,0,2,0,0.2,0.2,0.4,0.2,0.4,Matches
149,Juan Domínguez,mx MEX,"FW,MF",León,27-113,1998,6,5,388,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
150,Julio Domínguez,mx MEX,DF,Atlético San Luis,38-104,1987,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
151,Dória,br BRA,DF,Atlas,31-104,1994,13,12,"1,115",12.4,1,0,1,1,0,0,3,0,0.08,0,0.08,0.08,0.08,Matches
152,Jonathan dos Santos,mx MEX,MF,América,35-300,1990,12,5,435,4.8,0,1,1,0,0,0,3,0,0,0.21,0.21,0,0.21,Matches
153,Rodrigo Dourado,br BRA,MF,América,31-248,1994,6,6,495,5.5,0,1,1,0,0,0,2,0,0,0.18,0.18,0,0.18,Matches
154,Rodrigo Dourado,br BRA,MF,Atlético San Luis,31-248,1994,15,11,"1,069",11.9,0,2,2,0,0,0,4,1,0,0.17,0.17,0,0.17,Matches
155,Anderson Duarte,uy URU,"MF,FW",Atlético San Luis,21-334,2004,6,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
156,Anderson Duarte,uy URU,"FW,MF",Mazatlán,21-334,2004,13,8,681,7.6,2,0,2,2,0,0,3,0,0.26,0,0.26,0.26,0.26,Matches
157,Rubén Duarte,es ESP,DF,UNAM,30-125,1995,19,18,"1,617",18,2,1,3,2,0,0,9,0,0.11,0.06,0.17,0.11,0.17,Matches
158,Dudu,br BRA,"FW,MF",Mazatlán,26-194,1999,18,7,777,8.6,0,2,2,0,0,0,1,1,0,0.23,0.23,0,0.23,Matches
159,Emmanuel Echeverría,mx MEX,DF,Santos Laguna,22-139,2003,15,4,513,5.7,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
160,Rodrigo Echeverría,cl CHI,"MF,DF",León,30-309,1995,22,22,"1,939",21.5,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
161,Javier Eduardo López,mx MEX,MF,Pachuca,31-156,1994,4,0,85,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
162,Jorge Eduardo Sánchez,mx MEX,"MF,DF",Cruz Azul,28-072,1997,16,14,"1,228",13.6,0,1,1,0,0,0,1,0,0,0.07,0.07,0,0.07,Matches
163,Francisco Eduardo Venegas,mx MEX,"DF,MF",Querétaro,27-219,1998,22,19,"1,521",16.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
164,Luis Enrique Quiñones,co COL,MF,Pachuca,34-239,1991,22,15,"1,345",14.9,2,0,2,2,0,0,6,1,0.13,0,0.13,0.13,0.13,Matches
165,Carlos Ernesto Cisneros,mx MEX,MF,León,32-174,1993,3,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
166,Kevin Escamilla,mx MEX,MF,Tijuana,31-364,1994,7,1,184,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
167,Kevin Escamilla,mx MEX,"MF,DF",Querétaro,31-364,1994,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
168,Dagoberto Espinoza,mx MEX,"DF,MF",América,21-309,2004,7,7,507,5.6,1,0,1,1,0,0,1,0,0.18,0,0.18,0.18,0.18,Matches
169,Lucas Esteves,br BRA,DF,Atlético San Luis,25-241,2000,3,3,192,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
170,Ángel Estrada,mx MEX,MF,León,23-031,2003,10,2,256,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
171,Jaime Estrada,mx MEX,FW,Mazatlán,18-294,2007,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
172,Jose Estrada,mx MEX,FW,Toluca,18-265,2007,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
173,Oscar Estupiñan,co COL,FW,FC Juárez,29-053,1996,19,19,"1,518",16.9,10,1,11,5,5,5,3,0,0.59,0.06,0.65,0.3,0.36,Matches
174,José Eulogio,mx MEX,GK,Pachuca,22-009,2004,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
175,Fábio,br BRA,FW,Mazatlán,28-271,1997,15,15,"1,311",14.6,3,0,3,2,1,1,2,0,0.21,0,0.21,0.14,0.14,Matches
176,Kevin Facundo Gutiérrez,ar ARG,MF,Necaxa,28-262,1997,5,2,182,2,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
177,Franco Fagúndez,uy URU,FW,Santos Laguna,25-216,2000,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
178,Lorenzo Faravelli,ar ARG,MF,Cruz Azul,32-328,1993,16,7,652,7.2,0,1,1,0,0,0,1,1,0,0.14,0.14,0,0.14,Matches
179,Lorenzo Faravelli,ar ARG,MF,Necaxa,32-328,1993,6,5,481,5.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
180,Marco Farfan,us USA,DF,UANL,27-100,1998,13,10,900,10,1,1,2,1,0,0,2,1,0.1,0.1,0.2,0.1,0.2,Matches
181,Juan Fedorco,ar ARG,DF,Puebla,25-084,2000,11,11,922,10.2,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
182,Gabriel Fernández,uy URU,FW,Cruz Azul,31-283,1994,17,13,"1,166",13,8,4,12,7,1,1,0,1,0.62,0.31,0.93,0.54,0.85,Matches
183,Rafael Fernández,mx MEX,DF,Tijuana,25-199,2000,20,20,"1,766",19.6,1,1,2,1,0,0,6,0,0.05,0.05,0.1,0.05,0.1,Matches
184,Gustavo Ferrareis,br BRA,"DF,MF",Atlas,30-049,1996,23,23,"1,960",21.8,0,3,3,0,0,0,1,0,0,0.14,0.14,0,0.14,Matches
185,Álvaro Fidalgo,es ESP,MF,América,28-317,1997,19,15,"1,358",15.1,1,0,1,1,0,0,1,0,0.07,0,0.07,0.07,0.07,Matches
186,Sebastián Fierro,mx MEX,MF,Mazatlán,24-187,2001,11,3,350,3.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
187,Iker Fimbres,mx MEX,MF,Monterrey,20-263,2005,13,3,453,5,2,0,2,2,0,0,0,0,0.4,0,0.4,0.4,0.4,Matches
188,Leonardo Flores,mx MEX,MF,Atlético San Luis,22-305,2003,3,1,104,1.2,0,1,1,0,0,0,1,0,0,0.87,0.87,0,0.87,Matches
189,Marcelo Flores,mx MEX,MF,UANL,22-142,2003,11,7,627,7,4,0,4,4,0,0,0,0,0.57,0,0.57,0.57,0.57,Matches
190,Nicolas Fonseca,uy URU,MF,León,27-124,1998,15,13,"1,135",12.6,0,0,0,0,0,1,5,0,0,0,0,0,0,Matches
191,Alexis Francisco Peña,mx MEX,DF,Necaxa,30-038,1996,19,19,"1,603",17.8,1,0,1,1,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
192,Adonis Frías,ar ARG,DF,León,27-340,1998,5,4,369,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
193,Raymundo Fulgencio,mx MEX,"MF,FW",FC Juárez,26-008,2000,19,7,647,7.2,1,2,3,1,0,0,2,0,0.14,0.28,0.42,0.14,0.42,Matches
194,Rogelio Funes Mori,mx MEX,FW,León,34-352,1991,16,8,637,7.1,1,0,1,1,0,0,1,0,0.14,0,0.14,0.14,0.14,Matches
195,Eduardo Gabriel,br BRA,DF,Pachuca,30-007,1996,21,21,"1,889",21,0,0,0,0,0,0,7,1,0,0,0,0,0,Matches
196,Benjamín Galdames,mx MEX,MF,Atlético San Luis,24-361,2001,23,13,"1,278",14.2,3,2,5,3,0,0,2,0,0.21,0.14,0.35,0.21,0.35,Matches
197,Benjamín Galindo Jr.,mx MEX,DF,Atlético San Luis,26-347,1999,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
198,Jesús Gallardo,mx MEX,"DF,MF",Toluca,31-189,1994,19,18,"1,619",18,4,2,6,4,0,0,8,0,0.22,0.11,0.33,0.22,0.33,Matches
199,Ariel Gamarra,py PAR,"MF,DF",Puebla,22-359,2003,13,9,886,9.8,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches
200,Luis Gamboa,mx MEX,FW,Atlas,17-118,2008,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
201,Amaury García,mx MEX,DF,Cruz Azul,24-063,2001,9,1,173,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
